id_morceaux,id_playlist
1,2
2,2
3,2
4,2
5,2
6,2
7,2
8,2
9,2
10,2
11,2
12,2
13,2
14,2
15,2
16,2
17,2
18,2
19,2
20,2
21,2
22,2
23,2
24,2
25,2
26,2
27,2
28,2
29,2
30,2
31,3
32,3
33,3
34,3
35,3
36,3
37,3
38,3
39,3
40,3
41,3
42,3
43,3
44,3
45,3
46,3
47,3
48,3
49,3
50,3
51,3
52,3
53,3
54,3
55,3
56,3
57,3
58,3
59,4
60,4
61,4
62,4
63,4
64,4
65,4
66,4
67,4
68,4
69,4
70,4
71,4
72,4
73,4
74,4
75,4
76,4
77,4
78,4
79,4
80,4
81,4
82,4
83,4
84,4
85,4
86,4
87,4
88,4
89,4
90,5
91,5
92,5
93,5
94,5
95,5
96,5
97,5
98,5
99,5
100,5
101,5
102,5
103,5
104,5
105,5
106,5
107,5
108,5
109,5
110,5
111,5
112,5
113,5
114,5
115,5
116,5
117,5
118,5
119,5
120,5
121,5
122,6
123,6
124,6
125,6
126,6
127,6
128,6
129,6
130,6
131,6
132,6
133,6
134,6
135,6
136,6
137,6
138,6
139,6
140,6
141,6
142,6
143,6
144,6
145,6
146,6
147,7
148,7
149,7
150,7
151,7
152,7
153,7
154,7
155,7
156,7
157,7
158,7
159,7
160,7
161,7
162,7
163,7
164,7
165,7
166,7
167,7
168,7
169,7
170,8
171,8
172,8
173,8
174,8
175,8
176,8
177,8
178,8
179,8
180,8
181,8
182,8
183,8
184,8
185,8
186,8
187,8
188,8
189,8
190,8
191,8
192,8
193,8
194,8
195,8
196,8
197,8
198,8
199,8
200,8
201,8
202,8
203,8
204,8
205,8
206,8
207,8
208,8
209,8
210,8
211,8
212,8
213,8
214,8
215,8
216,8
217,8
218,8
219,9
220,9
221,9
222,9
223,9
224,9
225,9
226,9
227,9
228,9
229,9
230,9
231,9
232,9
233,9
234,9
235,9
236,9
237,9
238,9
239,9
240,9
241,9
242,9
243,9
244,9
245,9
246,9
247,10
248,10
249,10
250,10
251,10
252,10
253,10
254,10
255,10
256,10
257,10
258,10
259,10
260,10
261,10
262,10
263,10
264,10
265,10
266,10
267,10
268,10
269,10
270,10
271,10
272,10
273,10
274,10
275,10
276,10
277,10
278,10
279,10
280,10
281,10
282,10
283,11
284,11
285,11
286,11
287,11
288,11
289,11
290,11
291,11
292,11
293,11
294,11
295,11
296,11
297,11
298,11
299,11
300,11
301,11
302,11