id_lieu,adresse,ville
1,3307 Twin Pines Center,Paris
2,89356 Merry Pass,Venice
3,8912 Lighthouse Bay Pass,El Limon
4,94503 Lillian Drive,Sarmanovo
5,7232 Schlimgen Way,Pobé
6,08 Kim Trail,Cipesing
7,9 Badeau Parkway,Wangdun
8,8151 Donald Way,Vitanje
9,8012 Iowa Terrace,Velas
10,0 Maple Wood Center,El Almendro
11,2 Forster Place,Heqiao
12,14 Ludington Drive,Sandaohezi
13,79 Mitchell Junction,Santa Rosa
14,14 Maywood Trail,Pepayan
15,720 Twin Pines Circle,Tawaramoto
16,63 Summerview Alley,Pembroke
17,31 Forster Trail,Grubišno Polje
18,6652 Cambridge Hill,Lesnoye
19,26539 Oak Point,Mirandopólis
20,7211 Randy Point,Ingarö
21,0 David Drive,Babakan
22,30 Almo Crossing,Yamethin
23,956 1st Junction,Gaohu
24,91 Meadow Ridge Terrace,Chengjiang
25,37 Dawn Junction,Velyki Sorochyntsi
26,48 Lake View Street,Tanggulangin
27,0069 Hudson Lane,Kawayan
28,71 Pennsylvania Alley,Casal de São João
29,46 Gerald Trail,Or Yehuda
30,5969 Bartelt Road,Paltamo
31,36 Roxbury Avenue,Horad Pinsk
32,31285 Hollow Ridge Parkway,Oksa
33,440 Golf View Court,Wolonio
34,03720 Crownhardt Court,Tōgane
35,8164 Bartelt Crossing,Capitán Solari
36,2 Hallows Center,Antsiranana
37,6261 Hovde Circle,Guane
38,339 Macpherson Lane,Yaozhanzi
39,49 Northwestern Way,Feondari
40,6930 Scott Crossing,Kara
41,76 Gulseth Point,Yaosai
42,9709 Loomis Park,Valbo
43,7163 Northfield Court,Velikiy Ustyug
44,55 Washington Lane,Haz-Zebbug
45,35 Green Ridge Avenue,Liujiachang
46,5 Anniversary Lane,København
47,6958 Declaration Plaza,Harrison
48,30 Garrison Drive,Laveiras
49,1681 Maple Wood Road,Cipunglu
50,434 Aberg Alley,Obolo-Eke (1)
51,812 Del Mar Plaza,Mutangyuan
52,0259 Moulton Place,Kosakowo
53,3 Kenwood Road,Az Zaytūnīyah
54,22824 Mallory Avenue,Svobody
55,10323 Corry Terrace,Oštarije
56,82654 Oak Trail,Tékane
57,03 Mariners Cove Hill,Lyon
58,4 Lien Park,Sakaraha
59,330 Fulton Road,Dardhas
60,9610 Bluestem Circle,Qingxi